# id                          beta  beta_uerr  beta_lerr        z   z_uerr   z_lerr      muv  muv_uerr  muv_lerr
UNCOVER-53033               -2.06       0.59       0.81    10.33     0.79     1.47   -19.77      0.41      0.29
UNCOVER-53293               -2.71       0.38       1.22    12.16     2.40     0.64   -19.14      0.13      0.44
UNCOVER-2019859             -3.06       0.43       0.57    13.57     0.80     0.97   -18.84      0.16      0.21
UNCOVER-2037921             -1.44       0.25       0.25    10.55     0.20     0.22   -19.36      0.09      0.07
UNCOVER-3061884             -2.29       0.46       0.36    10.40     0.31     0.99   -19.42      0.31      0.13
JADES-3213                  -2.82       0.25       0.25    10.73     0.13     0.16   -19.97      0.07      0.06
JADES-8695                  -2.09       0.29       0.32    10.18     0.42     0.50   -18.93      0.15      0.15
JADES-9079                  -3.53       0.42       0.37    10.56     0.27     0.32   -18.43      0.14      0.10
JADES-9320                  -2.88       0.53       0.60    11.64     1.21     0.68   -18.61      0.22      0.15
JADES-9585                  -2.31       0.26       0.25     9.03     0.28     0.23   -17.27      0.11      0.10
JADES-9996                  -2.14       0.25       0.25    12.14     1.01     0.29   -18.91      0.08      0.13
JADES-11367                 -2.76       0.44       0.58    13.14     0.80     0.83   -18.41      0.13      0.18
JADES-12993                 -2.59       0.27       0.34     9.79     0.38     0.28   -18.26      0.07      0.11
JADES-14905                 -3.00       0.33       0.36    11.32     0.29     0.34   -18.88      0.12      0.09
JADES-16929                 -2.34       0.31       0.39    10.18     0.40     0.54   -18.24      0.18      0.18
JADES-19283                 -1.93       0.40       0.47     9.59     0.81     0.61   -18.44      0.20      0.25
JADES-20624                 -2.44       0.25       0.25     9.53     0.57     0.22   -19.38      0.06      0.12
JADES-33477                 -2.60       0.25       0.25    11.62     0.25     0.23   -18.80      0.08      0.07
JADES-34414                 -3.14       0.27       0.26    11.16     0.22     0.25   -18.29      0.09      0.07
JADES-45865                 -1.83       0.28       0.39     9.47     0.87     0.50   -17.94      0.16      0.25
JADES-48153                 -2.49       0.29       0.36     9.39     0.86     0.41   -17.96      0.14      0.20
